timestep,K2064010,V4145210,V5004030,V5015210
421,0.18273532,-0.7796752,-1.4166564,5.124308
422,0.1758248,-0.78598523,-1.4126536,5.12672
423,0.16766421,-0.7911121,-1.4148355,5.1286054
424,0.3081843,-0.83279353,-1.4573866,5.121786
425,0.07606768,-0.4142079,-1.5414776,5.154331
426,0.22781934,-0.98739594,-1.5852218,5.124951
427,-0.01135848,-0.7721074,-1.6160077,5.2536893
428,0.08106989,-0.87483025,-1.6172346,5.0329003
429,0.08307966,-0.87010926,-1.6082844,5.0446086
430,0.083632775,-0.8673572,-1.6025461,5.0496006
431,0.082962096,-0.86686784,-1.5996655,5.0530114
432,0.08294606,-0.8656458,-1.5975484,5.053771
433,0.08288416,-0.8646404,-1.5966082,5.0544915
434,0.08283126,-0.8645285,-1.5960765,5.055141
435,0.082113974,-0.8640763,-1.5961672,5.055893
436,0.25820124,-0.92013454,-1.641715,5.060289
437,0.083676904,-0.8637183,-1.5957125,5.0551987
438,0.1420029,-0.8208745,-1.4412848,5.1233754
439,0.1598381,-0.7958395,-1.4130491,5.1293273
440,0.16921902,-0.7871787,-1.4056045,5.13201
441,0.17743815,-0.78314966,-1.4084824,5.13318
442,0.18537827,-0.77911943,-1.4137831,5.1320148
443,0.18842168,-0.7770657,-1.4168416,5.133431
444,0.18679376,-0.77880555,-1.4175771,5.134586
445,0.18058431,-0.7823619,-1.415526,5.1352468
446,0.17444326,-0.78587335,-1.4119605,5.1372075
447,0.16445173,-0.7912834,-1.4082192,5.138023
448,0.15563336,-0.8031772,-1.4155531,5.1365113
449,0.13692795,-0.82582283,-1.4453826,5.133356
450,0.0785628,-0.86213166,-1.5995156,5.0640845
451,0.07893128,-0.8623876,-1.598033,5.063333
452,0.0787566,-0.8620193,-1.5972158,5.0631905
453,0.07835331,-0.8616221,-1.5965942,5.063499
454,0.07848707,-0.8611396,-1.5969433,5.0647984
455,0.078150034,-0.860694,-1.596583,5.0645485
456,0.07855485,-0.8600233,-1.5964398,5.064924
457,0.079157166,-0.86031646,-1.5963372,5.06443
458,0.07893858,-0.85941386,-1.5962244,5.0657024
459,0.080022275,-0.85962266,-1.5954894,5.0655284
460,0.078297056,-0.85887367,-1.5952392,5.0658073
461,0.07889605,-0.85895926,-1.5940752,5.0663066
462,0.13776927,-0.8218508,-1.4401021,5.134438
463,0.15400015,-0.79916734,-1.4111267,5.139988
464,0.16151783,-0.78897715,-1.4047292,5.140269
465,0.17098093,-0.78369504,-1.4082693,5.142895
466,0.17820466,-0.7804005,-1.4122769,5.1424446
467,0.18097465,-0.77690005,-1.414981,5.144457
468,0.18027826,-0.7784036,-1.4165778,5.14579
469,0.176879,-0.7806813,-1.4139829,5.1461215
470,0.1670909,-0.78604394,-1.4102191,5.148188
471,0.16041552,-0.7932673,-1.4082893,5.147182
472,0.15082674,-0.80504346,-1.4140234,5.147037
473,0.13227768,-0.8267469,-1.440279,5.142833
474,0.0753653,-0.8578107,-1.5952226,5.074241
475,0.075499795,-0.8570593,-1.5946746,5.0738063
476,0.07425898,-0.856371,-1.5946931,5.0743003
477,0.07388532,-0.85716337,-1.5951697,5.075142
478,0.07327258,-0.8579027,-1.5929209,5.0743237
479,0.07459694,-0.8566683,-1.5926074,5.075501
480,0.073429726,-0.8562897,-1.5924063,5.0757833
481,0.07523391,-0.85560817,-1.5926765,5.076239
482,0.074801445,-0.8550442,-1.5923544,5.075222
483,0.074153714,-0.85566074,-1.5913461,5.073067
484,0.07371422,-0.85538095,-1.5907483,5.0733604
485,0.073130004,-0.85472864,-1.5905042,5.074178
486,0.12631465,-0.8252556,-1.4382144,5.1448083
487,0.14203967,-0.8024613,-1.4112602,5.149902
